level,descriptor,target,removed_group,n,remaining_n,full_rho,group_loo_rho,absolute_shift,sign_flip
task,channel_count,delta_auc_roc,Creditcard,23,22,-0.5317285690666984,-0.5033428776558094,0.02838569141088898,False
task,channel_count,delta_auc_roc,SMAP,23,22,-0.5317285690666984,-0.48159118213758384,0.05013738692911457,False
task,channel_count,delta_auc_roc,SMD,23,22,-0.5317285690666984,-0.482370257753484,0.04935831131321439,False
task,channel_count,delta_auc_roc,SWAT,23,22,-0.5317285690666984,-0.47065026427865514,0.06107830478804327,False
task,mean_drift,delta_auc_pr,PSM,23,22,0.5158102766798419,0.5189158667419538,0.0031055900621118626,False
task,mean_drift,delta_auc_pr,Genesis,23,22,0.5158102766798419,0.4466403162055336,0.06916996047430829,False
task,mean_drift,delta_auc_pr,GECCO,23,22,0.5158102766798419,0.5223037831733485,0.006493506493506551,False
task,mean_drift,delta_auc_pr,CalIt2,23,22,0.5158102766798419,0.5166572557876906,0.0008469791078486999,False
task,mean_drift,delta_auc_pr,NYC,23,22,0.5158102766798419,0.5031055900621118,0.012704686617730165,False
task,mean_drift,delta_auc_pr,MSL,23,22,0.5158102766798419,0.575381140598532,0.05957086391869004,False
task,mean_drift,delta_auc_pr,ASD,23,11,0.5158102766798419,0.09090909090909091,0.424901185770751,False
task,mean_drift,delta_auc_pr,CICIDS,23,22,0.5158102766798419,0.5290796160361377,0.013269339356295817,False
task,mean_drift,delta_auc_pr,Creditcard,23,22,0.5158102766798419,0.5640880858272164,0.04827780914737445,False
task,mean_drift,delta_auc_pr,SMAP,23,22,0.5158102766798419,0.4726143421795596,0.04319593450028231,False
task,mean_drift,delta_auc_pr,SMD,23,22,0.5158102766798419,0.5290796160361377,0.013269339356295817,False
task,mean_drift,delta_auc_pr,SWAT,23,22,0.5158102766798419,0.4963297571993225,0.01948051948051943,False
task,mean_drift,delta_auc_roc,PSM,23,22,0.5899209486166007,0.557312252964427,0.032608695652173725,False
task,mean_drift,delta_auc_roc,Genesis,23,22,0.5899209486166007,0.5765104460756635,0.01341050254093723,False
task,mean_drift,delta_auc_roc,GECCO,23,22,0.5899209486166007,0.5527950310559007,0.03712591756070005,False
task,mean_drift,delta_auc_roc,CalIt2,23,22,0.5899209486166007,0.6070016939582158,0.017080745341615078,False
task,mean_drift,delta_auc_roc,NYC,23,22,0.5899209486166007,0.5618294748729532,0.02809147374364751,False
task,mean_drift,delta_auc_roc,MSL,23,22,0.5899209486166007,0.5742518351214004,0.015669113495200282,False
task,mean_drift,delta_auc_roc,ASD,23,11,0.5899209486166007,0.6272727272727273,0.0373517786561266,False
task,mean_drift,delta_auc_roc,CICIDS,23,22,0.5899209486166007,0.5471485036702428,0.0427724449463579,False
task,mean_drift,delta_auc_roc,Creditcard,23,22,0.5899209486166007,0.5686053077357426,0.021315640880858133,False
task,mean_drift,delta_auc_roc,SMAP,23,22,0.5899209486166007,0.5415019762845851,0.04841897233201564,False
task,mean_drift,delta_auc_roc,SMD,23,22,0.5899209486166007,0.5595708639186902,0.030350084697910562,False
