baseline,dataset,Aff-F,V-PR,V-ROC
InterFusion,Weather,0.634900960137,0.235862134072,0.538305759764
InterFusion,Energy,0.625630856025,0.283893535483,0.507377788668
InterFusion,SKAB,0.422165543831,0.685078175198,0.689281360468
InterFusion,MSDS,nan,0.519440390603,0.027558295914
InterFusion,Daphnet,0.742047828107,0.204367688687,0.687077872763
InterFusion,GECCO,0.659999360327,0.0387297050986,0.507634739484
InterFusion,ExathlonSmall,0.997556695957,0.880774038349,0.944059230466
InterFusion,Metro,0.695582889867,0.00172868157847,0.43101319605
DADA,Genesis,0.755427228404,0.0311217987252,0.88570359123
DADA,Weather,0.327261147462,0.37755949169,0.625569071114
DADA,Energy,0.387960541379,0.333614640324,0.536896038137
DADA,SKAB,0.643589203711,0.663690186906,0.713703707274
DADA,MSDS,0.318826748924,0.80320289759,0.511748347157
DADA,Daphnet,0.660311585593,0.176781580633,0.63199508041
DADA,GECCO,0.45827759489,0.072603602023,0.752453039228
DADA,ExathlonSmall,0.872019997661,0.953041602717,0.988226062589
DADA,Metro,0.53092256677,0.00195812828735,0.484177808434
UniTS,Genesis,0.687501143543,0.0146647394162,0.710164707194
UniTS,Weather,0.352665270586,0.432887802892,0.742113739695
UniTS,Energy,0.304393883748,0.339955391498,0.559721153441
UniTS,SKAB,0.517467391099,0.713370398994,0.764500299714
UniTS,MSDS,0.340810764974,0.715870181405,0.394650182187
UniTS,Daphnet,0.705438759996,0.24458339984,0.738313692448
UniTS,GECCO,0.752462747686,0.657849585527,0.985862907778
UniTS,ExathlonSmall,0.911551506188,0.891830208094,0.957415999561
UniTS,Metro,0.5134653731,0.00152717989863,0.388158334912
Timer,Genesis,0.685894315567,0.0118337513935,0.689329802777
Timer,Weather,0.325374146421,0.430781858594,0.73167208199
Timer,Energy,0.2979175362,0.28623033853,0.445728007773
Timer,SKAB,0.513462428247,0.716557322234,0.766521436275
Timer,MSDS,0.339199606392,0.716036527949,0.395581374816
Timer,Daphnet,0.698502722098,0.244069866536,0.735697392565
Timer,GECCO,0.750011744961,0.635581673286,0.984149985861
Timer,ExathlonSmall,0.889347829693,0.897871056581,0.961329724975
Timer,Metro,0.506326731648,0.0014482689013,0.365328636901
LMixer,Genesis,0.74712605087,0.0146544676011,0.707729470479
LMixer,Weather,0.398359605425,0.388087592507,0.691777805422
LMixer,Energy,0.33168581697,0.321293108437,0.567277175431
LMixer,SKAB,0.537650954561,0.715706307629,0.767311681892
LMixer,MSDS,0.3383357715,0.718707143234,0.402927443583
LMixer,Daphnet,0.669480527063,0.234680886761,0.724671688621
LMixer,GECCO,0.749856288584,0.554245984589,0.971081080971
LMixer,ExathlonSmall,0.944099790604,0.88493735998,0.953176060491
LMixer,Metro,0.520812098201,0.00141755329675,0.364160355865
DLinear,Genesis,0.859887275151,0.0224460510853,0.728018384234
DLinear,Weather,0.810106958276,0.549135194176,0.812584580278
DLinear,Energy,0.749176583142,0.452623068382,0.730750111797
DLinear,SKAB,0.736757300872,0.691962070022,0.750013455981
DLinear,MSDS,0.627698491704,0.723034471572,0.403138487795
DLinear,Daphnet,0.739163955411,0.270093558358,0.776282313046
DLinear,GECCO,0.925554276766,0.424468554805,0.905106509991
DLinear,ExathlonSmall,0.999502948182,0.897065600326,0.955757761924
DLinear,Metro,0.654732611815,0.00128792629716,0.29375847845
PatchTST,Genesis,0.876249622242,0.0178413383403,0.744989056982
PatchTST,Weather,0.8034502332,0.51252532972,0.791950762968
PatchTST,Energy,0.692532017463,0.401735976257,0.67248951561
PatchTST,SKAB,0.752890309245,0.712627267516,0.768377739937
PatchTST,MSDS,0.628716585756,0.717784650055,0.392777983844
PatchTST,Daphnet,0.727859330753,0.239277735693,0.734217367081
PatchTST,GECCO,0.939358432291,0.573300405724,0.986044471603
PatchTST,ExathlonSmall,0.999172219167,0.891089804444,0.95438973086
PatchTST,Metro,0.661532002847,0.00138558459699,0.34117258068
iTransformer,Genesis,0.872478597196,0.0159639574988,0.752839235691
iTransformer,Weather,0.769066696099,0.42317654207,0.724685359594
iTransformer,Energy,0.701643871935,0.344868706063,0.629367486641
iTransformer,SKAB,0.765055984304,0.719737321745,0.76661818506
iTransformer,MSDS,0.650978790468,0.7200248231,0.405116320887
iTransformer,Daphnet,0.756189176055,0.277806898168,0.757218528115
iTransformer,GECCO,0.892625962193,0.491136273399,0.979359533091
iTransformer,ExathlonSmall,0.999380280252,0.891217390865,0.952051650088
iTransformer,Metro,0.658826106761,0.0013351287243,0.316685893436
TimesNet,Genesis,0.827200054372,0.0298034859695,0.878858488096
TimesNet,Weather,0.749165152773,0.431487892865,0.737690289325
TimesNet,Energy,0.718123448801,0.417185984735,0.674979720632
TimesNet,SKAB,0.762980193465,0.706883072171,0.756020855326
TimesNet,MSDS,0.646490488823,0.710588911765,0.370694051799
TimesNet,Daphnet,0.802193357479,0.352155491227,0.839886962755
TimesNet,GECCO,0.939825768699,0.483989743043,0.958355403867
TimesNet,ExathlonSmall,0.999324984628,0.953678700348,0.987039412326
TimesNet,Metro,0.660802963585,0.0014172700527,0.339778519954
