pair_id,role,is_pair,designated_target,scored_target,phase_bin,source_terminal_index,donor_terminal_index,relation_value,relation_velocity,target,mu_temporal,mu_cross,temporal_residual,cross_residual,disagreement,temporal_residual_tail,temporal_residual_reliability_feature,temporal_residual_reliability_stratum,cross_residual_tail,cross_residual_reliability_feature,cross_residual_reliability_stratum,disagreement_tail,disagreement_reliability_feature,disagreement_reliability_stratum,temporal_residual_tail_exceeds,cross_residual_tail_exceeds,disagreement_tail_exceeds
target_2_phase_2_pair_03,target_spike,True,2,2,2,39,1006,-0.22707626223564148,0.031870048493146896,-5.265800952911377,-1.0191686153411865,-2.078962564468384,18.03388621049686,10.155938914053934,1.1231632146066204,5.472270673671475,0.7227384672806342,1.0,4.672828834461907,0.6322378284299585,0.0,2.6759618865507093,0.9602476575264269,1.0,True,True,False
target_2_phase_2_drift_00,normal_relation_drift_control,False,2,2,2,800,-1,-2.205602220366155e-15,0.03272492438554764,-0.12684503197669983,0.10933928936719894,-0.5810282230377197,0.05578303364867804,0.2062823710423709,0.47660730218415553,0.3285040669720361,0.6494977318050473,0.0,1.1464683098457449,0.6277868251816779,0.0,1.2335316065674804,0.9033070361131877,0.0,False,False,False
target_2_phase_2_drift_01,normal_relation_drift_control,False,2,2,2,1184,-1,-1.715743479332088e-15,0.03272492438554764,-1.3235225677490234,-1.1955997943878174,-1.0724180936813354,0.01636423594442249,0.06305345689681019,0.015173731388941292,0.21477530164369313,0.6837159294006692,1.0,0.5707724674363889,0.6754521989107015,1.0,0.20430046351272993,0.9610947638654175,1.0,False,False,False
target_2_phase_2_drift_02,normal_relation_drift_control,False,2,2,2,416,-1,8.572527703398379e-16,0.03272492438554764,-1.5550593137741089,-0.7565882205963135,-1.521257996559143,0.6375560866405436,0.0011425290454667447,0.584719866271044,1.367602228107738,0.8690085296489214,2.0,0.062303883336154865,0.7366718281601367,2.0,1.4226620052907655,1.1392371162349733,2.0,False,False,False
target_2_phase_2_drift_03,normal_relation_drift_control,False,2,2,2,608,-1,1.1021821408568715e-15,0.03272492438554764,-0.07596666365861893,0.02892347425222397,-0.21190302073955536,0.011001941030955642,0.018478693176435856,0.05799740069002551,0.16896576561239895,0.6812541060301753,1.0,0.34209549417557517,0.6268580472345361,0.0,0.27802016154004405,0.9257743614756618,0.0,False,False,False
target_2_phase_3_pair_00,coherent_control,True,2,2,3,88,866,-0.9659258127212524,0.008469833061099052,-0.975554347038269,-0.06072048097848892,-0.7335298657417297,0.8369210024898837,0.058575849546858905,0.4526724682254906,1.7346010553881064,0.7218596841623143,1.0,0.3888257891041997,0.7898383809339685,2.0,1.2219913098286144,1.070012182928451,2.0,False,False,False
target_2_phase_3_pair_00,unsupported_target_break,True,2,2,3,88,866,-0.9659258127212524,0.008469833061099052,-0.975554347038269,-0.06072048097848892,-0.6175885200500488,0.8369210024898837,0.1281395332913604,0.31010201293940437,1.7346010553881064,0.7218596841623143,1.0,0.8814034728737145,0.7151204478065374,1.0,1.120591195386885,1.0161095701202398,1.0,False,False,False
target_2_phase_3_pair_00,target_omission_break,True,2,2,3,88,866,-0.9659258127212524,0.008469833061099052,-0.0577939972281456,0.7513404488563538,-0.7335298657417297,0.6546985518404695,0.45661896399580787,2.2048398511746115,1.540445040947149,0.7575285680198326,1.0,1.9129038525871431,0.7898383809339685,2.0,3.619886582626985,1.0943921597684128,2.0,False,False,True
target_2_phase_3_pair_00,target_spike,True,2,2,3,88,866,-0.9659258127212524,0.008469833061099052,-4.006606101989746,-0.06072048097848892,-0.7335298657417297,15.570013334103395,10.71302804829148,0.4526724682254906,5.472270673671475,0.7218596841623143,1.0,5.003946305945459,0.7898383809339685,2.0,1.2219913098286144,1.070012182928451,2.0,True,True,False
target_2_phase_3_pair_01,coherent_control,True,2,2,3,502,670,-0.3214394748210907,0.030988216400146484,2.230181932449341,1.1076656579971313,2.1878364086151123,1.260042786410068,0.0017931433887952153,1.1667688504906124,2.3608540011180215,0.8523033369246183,2.0,0.0694723728147674,0.7643897200194291,2.0,2.0104486701928845,1.1448635823556537,2.0,False,False,False
target_2_phase_3_pair_01,unsupported_target_break,True,2,2,3,502,670,-0.3214394748210907,0.030988216400146484,2.230181932449341,1.1076656579971313,-1.9915882349014282,1.260042786410068,17.82334334593294,9.605374692646876,2.3608540011180215,0.8523033369246183,2.0,5.003946305945459,0.7266684009759403,2.0,4.718498871295094,1.120030331334723,2.0,False,True,True
target_2_phase_3_pair_01,target_omission_break,True,2,2,3,502,670,-0.3214394748210907,0.030988216400146484,-2.6020848751068115,-0.9643038511276245,2.1878364086151123,2.6823266825063143,22.943345904252283,9.935988217091008,3.862832761237374,0.7442049020125747,1.0,5.003946305945459,0.7643897200194291,2.0,4.718498871295094,1.0668329673622423,2.0,True,True,True
target_2_phase_3_pair_01,target_spike,True,2,2,3,502,670,-0.3214394748210907,0.030988216400146484,5.261233329772949,1.1076656579971313,2.1878364086151123,17.25212440402119,9.445768634982471,1.1667688504906124,4.663439094112067,0.8523033369246183,2.0,5.003946305945459,0.7643897200194291,2.0,2.0104486701928845,1.1448635823556537,2.0,True,True,False
target_2_phase_3_pair_02,coherent_control,True,2,2,3,1063,99,-0.7298640608787537,0.022370506078004837,-1.014078140258789,-0.6814361810684204,-1.0703191757202148,0.11065067301400688,0.0031630540697733522,0.15122998352934758,0.4293325895148078,0.7692029118867907,2.0,0.08647359800382683,0.6576476480354481,1.0,0.6859269325864582,1.0120145990160787,1.0,False,False,False
target_2_phase_3_pair_02,unsupported_target_break,True,2,2,3,1063,99,-0.7298640608787537,0.022370506078004837,-1.014078140258789,-0.6814361810684204,1.1595745086669922,0.11065067301400688,4.724765838182066,3.3893203597200596,0.4293325895148078,0.7692029118867907,2.0,5.003946305945459,0.7842792498826963,2.0,4.718498871295094,1.0985294995819104,2.0,False,True,True
